QLearn4Agt: USESYMMETRY:true, NORMALIZE:false, sigmoid:tanh, lambda:0.0, horizon:1, AFTERSTATE:false, learnFromRM: true
QLearn4Agt: alpha_init->final:1.0->0.5, epsilon_init->final:0.1->0.0, gamma: 1.0
from: Unknown
run; gameNum; evalQ; evalT; actionNum; trnMoves; totalTrainSec; movesSecond; ; 
3; 500; 0.0; 0.0; 3744; 3744; 0.794; 4715.36523929471; 0.0; 0.0
3; 1000; -0.1; -0.5; 7809; 7809; 1.484; 5262.129380053909; 0.0; 0.0
3; 1500; -0.15; 0.0; 11787; 11787; 2.376; 4960.858585858586; 0.0; 0.0
3; 2000; -0.1; 0.0; 15900; 15900; 3.054; 5206.286836935167; 0.0; 0.0
3; 2500; 0.0; 0.0; 20082; 20082; 3.7; 5427.5675675675675; 0.0; 0.0
3; 3000; -0.2; -0.5; 24310; 24310; 4.393; 5533.803778738903; 0.0; 0.0
3; 3500; 0.0; 0.0; 28538; 28538; 5.117; 5577.095954660934; 0.0; 0.0
3; 4000; 0.0; 0.0; 32779; 32779; 6.243; 5250.520583053019; 0.0; 0.0
3; 4500; -0.1; 0.0; 37076; 37076; 7.099; 5222.707423580786; 0.0; 0.0
3; 5000; 0.0; 0.0; 41383; 41383; 7.876; 5254.316912138141; 0.0; 0.0
3; 5500; 0.0; 0.0; 45742; 45742; 8.499; 5382.04494646429; 0.0; 0.0
3; 6000; 0.0; 0.0; 50048; 50048; 9.269; 5399.503722084367; 0.0; 0.0
3; 6500; 0.0; 0.0; 54430; 54430; 9.915; 5489.662128088755; 0.0; 0.0
3; 7000; 0.0; 0.0; 58831; 58831; 10.686; 5505.427662361969; 0.0; 0.0
3; 7500; 0.0; 0.0; 63226; 63226; 11.526; 5485.511018566719; 0.0; 0.0
3; 8000; 0.0; 0.0; 67666; 67666; 12.169; 5560.522639493795; 0.0; 0.0
3; 8500; 0.0; 0.0; 72123; 72123; 13.002; 5547.069681587448; 0.0; 0.0
3; 9000; 0.0; 0.0; 76579; 76579; 13.711; 5585.223543140544; 0.0; 0.0
3; 9500; 0.0; 0.0; 81022; 81022; 14.48; 5595.441988950276; 0.0; 0.0
3; 10000; 0.0; 0.0; 85503; 85503; 15.523; 5508.1491979643115; 0.0; 0.0
4; 500; -0.2; -0.5; 3814; 3814; 0.812; 4697.04433497537; 0.0; 0.0
4; 1000; 0.0; 0.0; 7881; 7881; 1.651; 4773.470623864325; 0.0; 0.0
4; 1500; 0.0; 0.0; 12082; 12082; 3.226; 3745.195288282703; 0.0; 0.0
4; 2000; -0.2; 0.0; 16298; 16298; 3.792; 4297.995780590718; 0.0; 0.0
4; 2500; 0.0; 0.0; 20542; 20542; 4.353; 4719.044337238686; 0.0; 0.0
4; 3000; 0.0; 0.0; 24847; 24847; 4.949; 5020.610224287735; 0.0; 0.0
4; 3500; -0.05; 0.0; 29105; 29105; 5.578; 5217.820007171029; 0.0; 0.0
4; 4000; 0.0; 0.0; 33397; 33397; 6.217; 5371.883545118225; 0.0; 0.0
4; 4500; 0.0; 0.0; 37718; 37718; 6.754; 5584.542493337282; 0.0; 0.0
4; 5000; -0.15; 0.0; 42068; 42068; 7.773; 5412.067412839316; 0.0; 0.0
4; 5500; 0.0; 0.0; 46440; 46440; 8.732; 5318.369216674302; 0.0; 0.0
4; 6000; 0.0; 0.0; 50775; 50775; 9.44; 5378.707627118644; 0.0; 0.0
4; 6500; 0.0; 0.0; 55167; 55167; 10.179; 5419.687592101385; 0.0; 0.0
4; 7000; 0.0; 0.0; 59584; 59584; 10.795; 5519.592403890691; 0.0; 0.0
4; 7500; 0.0; 0.0; 64037; 64037; 11.329; 5652.484773589902; 0.0; 0.0
4; 8000; 0.0; 0.0; 68474; 68474; 11.914; 5747.356051703878; 0.0; 0.0
4; 8500; 0.0; 0.0; 72949; 72949; 12.451; 5858.886836398683; 0.0; 0.0
4; 9000; 0.0; 0.0; 77413; 77413; 13.077; 5919.782824806913; 0.0; 0.0
4; 9500; 0.0; 0.0; 81895; 81895; 13.761; 5951.239008792966; 0.0; 0.0
4; 10000; 0.0; 0.0; 86391; 86391; 14.491; 5961.700365744256; 0.0; 0.0
5; 500; -0.45; -0.5; 3277; 3277; 0.499; 6567.134268537075; 0.0; 0.0
5; 1000; -0.15; 0.0; 6986; 6986; 1.044; 6691.570881226054; 0.0; 0.0
5; 1500; -0.3; -0.5; 11095; 11095; 1.515; 7323.4323432343235; 0.0; 0.0
5; 2000; -0.05; 0.0; 15308; 15308; 1.974; 7754.812563323202; 0.0; 0.0
5; 2500; -0.35; -0.5; 19543; 19543; 2.512; 7779.856687898089; 0.0; 0.0
5; 3000; 0.0; 0.0; 23797; 23797; 3.055; 7789.525368248772; 0.0; 0.0
5; 3500; 0.0; 0.0; 28046; 28046; 3.642; 7700.713893465129; 0.0; 0.0
5; 4000; -0.25; 0.0; 32366; 32366; 4.191; 7722.739203054164; 0.0; 0.0
5; 4500; 0.0; 0.0; 36694; 36694; 4.771; 7691.050094319849; 0.0; 0.0
5; 5000; 0.0; 0.0; 41066; 41066; 5.354; 7670.1531565184905; 0.0; 0.0
5; 5500; 0.0; 0.0; 45463; 45463; 6.042; 7524.495200264813; 0.0; 0.0
5; 6000; 0.0; 0.0; 49817; 49817; 6.603; 7544.600938967136; 0.0; 0.0
5; 6500; 0.0; 0.0; 54233; 54233; 7.169; 7564.932347607756; 0.0; 0.0
5; 7000; 0.0; 0.0; 58657; 58657; 7.805; 7515.31069827034; 0.0; 0.0
5; 7500; 0.0; 0.0; 63064; 63064; 8.462; 7452.611675726779; 0.0; 0.0
5; 8000; 0.0; 0.0; 67492; 67492; 9.154; 7372.951715097225; 0.0; 0.0
5; 8500; 0.0; 0.0; 71946; 71946; 9.688; 7426.300578034681; 0.0; 0.0
5; 9000; 0.0; 0.0; 76427; 76427; 10.234; 7467.949970685949; 0.0; 0.0
5; 9500; 0.0; 0.0; 80900; 80900; 10.813; 7481.734948672894; 0.0; 0.0
5; 10000; 0.0; 0.0; 85390; 85390; 11.451; 7456.990655837918; 0.0; 0.0
6; 500; -0.2; 0.0; 3844; 3844; 0.518; 7420.84942084942; 0.0; 0.0
6; 1000; -0.35; 0.0; 7873; 7873; 1.063; 7406.396989651929; 0.0; 0.0
6; 1500; -0.05; 0.0; 11985; 11985; 1.53; 7833.333333333333; 0.0; 0.0
6; 2000; 0.0; 0.0; 16124; 16124; 2.055; 7846.2287104622865; 0.0; 0.0
6; 2500; 0.0; 0.0; 20334; 20334; 2.623; 7752.192146397254; 0.0; 0.0
6; 3000; 0.0; 0.0; 24526; 24526; 3.137; 7818.297736691106; 0.0; 0.0
6; 3500; 0.0; 0.0; 28792; 28792; 3.807; 7562.910428158655; 0.0; 0.0
